Numéro JPG page,Numéro de page,Texte
LC_O_120263_1973_0001.jpg,1,  
LC_O_120263_1973_0002.jpg,2,  
LC_O_120263_1973_0003.jpg,3," Publicationannuelle de lÂgence de presse Novosti Editions de l'Agence de presse Novosti Moscou-1973 © Editions de l'Agence de presse Novosti, 1973 0 12.0.mi[m(À"
LC_O_120263_1973_0004.jpg,4, ☆ L'UNION DES RÉPUBLIQUES SOCIALISTES SOVIÉTIQUES L'Union des Républiques Socialistes Soviétiques est une association librement consentie des 15 républiques fédérées soviétiques égales en droit. Fondée le 30 décembre 1922 Territoire: 22 400 000 km2 Population: 250 000 000 d'h Capitale: Moscou (7 410 000 h)
LC_O_120263_1973_0005.jpg,5,  
LC_O_120263_1973_0006.jpg,6,  
LC_O_120263_1973_0007.jpg,7," Remise à Léonide Brejnev, Secrétaire général du C.C. du P.C.U.S.. du Prix Lénine « Pour le renforcement de la paix entre les peuples », qui lui a été attribué en 1973 pour ses remarquables mérites dans la lutte pour la sauvegarde et ta consolidation de la paix. Visite officielle d'amitié en U.R.S.S. faite du 9 au lti juillet 1973 par une délégation du Parti des travailleurs du Vietnam et du gouvernement de la R.D.V., conduite par Le Duan, Premier secrétaire du C.C. du P.T.V., et Pliant Van Dong. membre du Bureau politique du C.C. du P.T.V., premier ministre du gouvernement de la R.D.V. Prague, février 1973. La rencontre de Léonide Brejnev avec Ludvik Svoboda, président de la République socialiste de Tchécoslovaquie"
LC_O_120263_1973_0008.jpg,8," H 1 I ! Le Palais des Congrès au Kremlin Le siège du Conseil central des syndicats de l'U.R.S.S. à Moscou Le siège du C.A.E.M. (Conseil d'assistance économique mutuelle), gauche Le monument a V. Lénine, fondateur de l'Etat soviétique Moscou, avenue Kalinine PHI V- - ' rr'„ rs""lTJ s^i - ' • J 'o.^— 1 i—. rr jrt 1 ""Vnn - "" 1 issa"
LC_O_120263_1973_0009.jpg,9,  
LC_O_120263_1973_0010.jpg,10,  
LC_O_120263_1973_0011.jpg,11,  
LC_O_120263_1973_0012.jpg,12,  
LC_O_120263_1973_0013.jpg,13,  
LC_O_120263_1973_0014.jpg,14, de la mer Baltique an Pacifique
LC_O_120263_1973_0015.jpg,15,  
LC_O_120263_1973_0016.jpg,16,  
LC_O_120263_1973_0017.jpg,17,  
LC_O_120263_1973_0018.jpg,18,  
LC_O_120263_1973_0019.jpg,19,  
LC_O_120263_1973_0020.jpg,20," La visite de Léonide Brejnev France, du 25 au 27 juin 1973"
LC_O_120263_1973_0021.jpg,21,  
LC_O_120263_1973_0022.jpg,22,  
LC_O_120263_1973_0023.jpg,23,  
