ISSN,Cote,Nommage PDF,Date de publication,Langue,Auteur,Lieu d'édition,Éditeur
1029-9920,O120263,LC_O_120263_1973.pdf,1973,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120266,LC_O_120263_1976.pdf,1976,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120267,LC_O_120263_1977.pdf,1977,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120268,LC_O_120263_1978.pdf,1978,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120269,LC_O_120263_1979.pdf,1979,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120270,LC_O_120263_1980.pdf,1980,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120271,LC_O_120263_1981.pdf,1981,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120272,LC_O_120263_1982.pdf,1982,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120274,LC_O_120263_1984.pdf,1984,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120276,LC_O_120263_1986.pdf,1986,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120277,LC_O_120263_1987.pdf,1987,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120278,LC_O_120263_1988.pdf,1988,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
1029-9920,O120280,LC_O_120263_1990.pdf,1990,français,Agence de presse Novosti,Moscou,Agence de presse Novosti
