ISSN,Cote,Nommage PDF,Date de publication,Langue,Auteurs,Éditeur,Lieu d'édition,Sujets
0131-8756,8P5876,LC_8P_5876_1969_06.pdf,1969-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5877,LC_8P_5876_1969_09.pdf,1969-09-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5878,LC_8P_5876_1969_12.pdf,1969-12-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5879,LC_8P_5876_1970_01.pdf,1970-01-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5880,LC_8P_5876_1970_02.pdf,1970-02-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5881,LC_8P_5876_1970_03.pdf,1970-03-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5882,LC_8P_5876_1970_04.pdf,1970-04-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5883,LC_8P_5876_1970_05.pdf,1970-05-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5884,LC_8P_5876_1970_06.pdf,1970-06-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5885,LC_8P_5876_1970_07.pdf,1970-07-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
0131-8756,8P5886,LC_8P_5876_1970_08.pdf,1970-08-01,français,Agence de presse Novosti ; Association philatélique de Nevers,Agence de presse Novosti,Moscou,URSS -- 1945-1991 -- Périodiques
